ID;Radius;Mass;Energy;Nichel
3602;19.0;20.0;2.50;0.020
3603;19.0;20.0;2.50;0.030
3604;19.0;20.0;2.50;0.040
3605;19.0;20.0;2.50;0.050
3606;19.0;20.0;2.50;0.060
3607;19.0;20.0;2.50;0.070
3608;19.0;20.0;2.50;0.080
3609;19.0;20.0;2.50;0.090
3610;19.0;20.0;2.50;0.100
3611;21.0;20.0;2.50;0.010
3612;21.0;20.0;2.50;0.020
3613;21.0;20.0;2.50;0.030
3614;21.0;20.0;2.50;0.040
3615;21.0;20.0;2.50;0.050
3616;21.0;20.0;2.50;0.060
3617;21.0;20.0;2.50;0.070
3618;21.0;20.0;2.50;0.080
3619;21.0;20.0;2.50;0.090
3620;21.0;20.0;2.50;0.100
3621;23.0;20.0;2.50;0.010
3622;23.0;20.0;2.50;0.020
3623;23.0;20.0;2.50;0.030
3624;23.0;20.0;2.50;0.040
3625;23.0;20.0;2.50;0.050
3626;23.0;20.0;2.50;0.060
3627;23.0;20.0;2.50;0.070
3628;23.0;20.0;2.50;0.080
3629;23.0;20.0;2.50;0.090
3630;23.0;20.0;2.50;0.100
3631;25.0;20.0;2.50;0.010
3632;25.0;20.0;2.50;0.020
3633;25.0;20.0;2.50;0.030
3634;25.0;20.0;2.50;0.040
3635;25.0;20.0;2.50;0.050
3636;25.0;20.0;2.50;0.060
3637;25.0;20.0;2.50;0.070
3638;25.0;20.0;2.50;0.080
3639;25.0;20.0;2.50;0.090
3640;25.0;20.0;2.50;0.100
3641;1.0;22.0;2.50;0.010
3642;1.0;22.0;2.50;0.020
3643;1.0;22.0;2.50;0.030
3644;1.0;22.0;2.50;0.040
3645;1.0;22.0;2.50;0.050
3646;1.0;22.0;2.50;0.060
3647;1.0;22.0;2.50;0.070
3648;1.0;22.0;2.50;0.080
3649;1.0;22.0;2.50;0.090
3650;1.0;22.0;2.50;0.100
3651;3.0;22.0;2.50;0.010
3652;3.0;22.0;2.50;0.020
3653;3.0;22.0;2.50;0.030
3654;3.0;22.0;2.50;0.040
3655;3.0;22.0;2.50;0.050
3656;3.0;22.0;2.50;0.060
3657;3.0;22.0;2.50;0.070
3658;3.0;22.0;2.50;0.080
3659;3.0;22.0;2.50;0.090
3660;3.0;22.0;2.50;0.100
3661;5.0;22.0;2.50;0.010
3662;5.0;22.0;2.50;0.020
3663;5.0;22.0;2.50;0.030
3664;5.0;22.0;2.50;0.040
3665;5.0;22.0;2.50;0.050
3666;5.0;22.0;2.50;0.060
3667;5.0;22.0;2.50;0.070
3668;5.0;22.0;2.50;0.080
3669;5.0;22.0;2.50;0.090
3670;5.0;22.0;2.50;0.100
3671;7.0;22.0;2.50;0.010
3672;7.0;22.0;2.50;0.020
3673;7.0;22.0;2.50;0.030
3674;7.0;22.0;2.50;0.040
3675;7.0;22.0;2.50;0.050
3676;7.0;22.0;2.50;0.060
3677;7.0;22.0;2.50;0.070
3678;7.0;22.0;2.50;0.080
3679;7.0;22.0;2.50;0.090
3680;7.0;22.0;2.50;0.100
3681;9.0;22.0;2.50;0.010
3682;9.0;22.0;2.50;0.020
3683;9.0;22.0;2.50;0.030
3684;9.0;22.0;2.50;0.040
3685;9.0;22.0;2.50;0.050
3686;9.0;22.0;2.50;0.060
3687;9.0;22.0;2.50;0.070
3688;9.0;22.0;2.50;0.080
3689;9.0;22.0;2.50;0.090
3690;9.0;22.0;2.50;0.100
3691;11.0;22.0;2.50;0.010
3692;11.0;22.0;2.50;0.020
3693;11.0;22.0;2.50;0.030
3694;11.0;22.0;2.50;0.040
3695;11.0;22.0;2.50;0.050
3696;11.0;22.0;2.50;0.060
3697;11.0;22.0;2.50;0.070
3698;11.0;22.0;2.50;0.080
3699;11.0;22.0;2.50;0.090
3700;11.0;22.0;2.50;0.100
3701;13.0;22.0;2.50;0.010
3702;13.0;22.0;2.50;0.020
3703;13.0;22.0;2.50;0.030
3704;13.0;22.0;2.50;0.040
3705;13.0;22.0;2.50;0.050
3706;13.0;22.0;2.50;0.060
3707;13.0;22.0;2.50;0.070
3708;13.0;22.0;2.50;0.080
3709;13.0;22.0;2.50;0.090
3710;13.0;22.0;2.50;0.100
3711;15.0;22.0;2.50;0.010
3712;15.0;22.0;2.50;0.020
3713;15.0;22.0;2.50;0.030
3714;15.0;22.0;2.50;0.040
3715;15.0;22.0;2.50;0.050
3716;15.0;22.0;2.50;0.060
3717;15.0;22.0;2.50;0.070
3718;15.0;22.0;2.50;0.080
3719;15.0;22.0;2.50;0.090
3720;15.0;22.0;2.50;0.100
3721;17.0;22.0;2.50;0.010
3722;17.0;22.0;2.50;0.020
3723;17.0;22.0;2.50;0.030
3724;17.0;22.0;2.50;0.040
3725;17.0;22.0;2.50;0.050
3726;17.0;22.0;2.50;0.060
3727;17.0;22.0;2.50;0.070
3728;17.0;22.0;2.50;0.080
3729;17.0;22.0;2.50;0.090
3730;17.0;22.0;2.50;0.100
3731;19.0;22.0;2.50;0.010
3732;19.0;22.0;2.50;0.020
3733;19.0;22.0;2.50;0.030
3734;19.0;22.0;2.50;0.040
3735;19.0;22.0;2.50;0.050
3736;19.0;22.0;2.50;0.060
3737;19.0;22.0;2.50;0.070
3738;19.0;22.0;2.50;0.080
3739;19.0;22.0;2.50;0.090
3740;19.0;22.0;2.50;0.100
3741;21.0;22.0;2.50;0.010
3742;21.0;22.0;2.50;0.020
3743;21.0;22.0;2.50;0.030
3744;21.0;22.0;2.50;0.040
3745;21.0;22.0;2.50;0.050
3746;21.0;22.0;2.50;0.060
3747;21.0;22.0;2.50;0.070
3748;21.0;22.0;2.50;0.080
3749;21.0;22.0;2.50;0.090
3750;21.0;22.0;2.50;0.100
3751;23.0;22.0;2.50;0.010
3752;23.0;22.0;2.50;0.020
3753;23.0;22.0;2.50;0.030
3754;23.0;22.0;2.50;0.040
3755;23.0;22.0;2.50;0.050
3756;23.0;22.0;2.50;0.060
3757;23.0;22.0;2.50;0.070
3758;23.0;22.0;2.50;0.080
3759;23.0;22.0;2.50;0.090
3760;23.0;22.0;2.50;0.100
3761;25.0;22.0;2.50;0.010
3762;25.0;22.0;2.50;0.020
3763;25.0;22.0;2.50;0.030
3764;25.0;22.0;2.50;0.040
3765;25.0;22.0;2.50;0.050
3766;25.0;22.0;2.50;0.060
3767;25.0;22.0;2.50;0.070
3768;25.0;22.0;2.50;0.080
3769;25.0;22.0;2.50;0.090
3770;25.0;22.0;2.50;0.100
3771;1.0;24.0;2.50;0.010
3772;1.0;24.0;2.50;0.020
3773;1.0;24.0;2.50;0.030
3774;1.0;24.0;2.50;0.040
3775;1.0;24.0;2.50;0.050
3776;1.0;24.0;2.50;0.060
3777;1.0;24.0;2.50;0.070
3778;1.0;24.0;2.50;0.080
3779;1.0;24.0;2.50;0.090
3780;1.0;24.0;2.50;0.100
3781;3.0;24.0;2.50;0.010
3782;3.0;24.0;2.50;0.020
3783;3.0;24.0;2.50;0.030
3784;3.0;24.0;2.50;0.040
3785;3.0;24.0;2.50;0.050
3786;3.0;24.0;2.50;0.060
3787;3.0;24.0;2.50;0.070
3788;3.0;24.0;2.50;0.080
3789;3.0;24.0;2.50;0.090
3790;3.0;24.0;2.50;0.100
3791;5.0;24.0;2.50;0.010
3792;5.0;24.0;2.50;0.020
3793;5.0;24.0;2.50;0.030
3794;5.0;24.0;2.50;0.040
3795;5.0;24.0;2.50;0.050
3796;5.0;24.0;2.50;0.060
3797;5.0;24.0;2.50;0.070
3798;5.0;24.0;2.50;0.080
3799;5.0;24.0;2.50;0.090
3800;5.0;24.0;2.50;0.100
3801;7.0;24.0;2.50;0.010
3802;7.0;24.0;2.50;0.020
3803;7.0;24.0;2.50;0.030
3804;7.0;24.0;2.50;0.040
3805;7.0;24.0;2.50;0.050
3806;7.0;24.0;2.50;0.060
3807;7.0;24.0;2.50;0.070
3808;7.0;24.0;2.50;0.080
3809;7.0;24.0;2.50;0.090
3810;7.0;24.0;2.50;0.100
3811;9.0;24.0;2.50;0.010
3812;9.0;24.0;2.50;0.020
3813;9.0;24.0;2.50;0.030
3814;9.0;24.0;2.50;0.040
3815;9.0;24.0;2.50;0.050
3816;9.0;24.0;2.50;0.060
3817;9.0;24.0;2.50;0.070
3818;9.0;24.0;2.50;0.080
3819;9.0;24.0;2.50;0.090
3820;9.0;24.0;2.50;0.100
3821;11.0;24.0;2.50;0.010
3822;11.0;24.0;2.50;0.020
3823;11.0;24.0;2.50;0.030
3824;11.0;24.0;2.50;0.040
3825;11.0;24.0;2.50;0.050
3826;11.0;24.0;2.50;0.060
3827;11.0;24.0;2.50;0.070
3828;11.0;24.0;2.50;0.080
3829;11.0;24.0;2.50;0.090
3830;11.0;24.0;2.50;0.100
3831;13.0;24.0;2.50;0.010
3832;13.0;24.0;2.50;0.020
3833;13.0;24.0;2.50;0.030
3834;13.0;24.0;2.50;0.040
3835;13.0;24.0;2.50;0.050
3836;13.0;24.0;2.50;0.060
3837;13.0;24.0;2.50;0.070
3838;13.0;24.0;2.50;0.080
3839;13.0;24.0;2.50;0.090
3840;13.0;24.0;2.50;0.100
3841;15.0;24.0;2.50;0.010
3842;15.0;24.0;2.50;0.020
3843;15.0;24.0;2.50;0.030
3844;15.0;24.0;2.50;0.040
3845;15.0;24.0;2.50;0.050
3846;15.0;24.0;2.50;0.060
3847;15.0;24.0;2.50;0.070
3848;15.0;24.0;2.50;0.080
3849;15.0;24.0;2.50;0.090
3850;15.0;24.0;2.50;0.100
3851;17.0;24.0;2.50;0.010
3852;17.0;24.0;2.50;0.020
3853;17.0;24.0;2.50;0.030
3854;17.0;24.0;2.50;0.040
3855;17.0;24.0;2.50;0.050
3856;17.0;24.0;2.50;0.060
3857;17.0;24.0;2.50;0.070
3858;17.0;24.0;2.50;0.080
3859;17.0;24.0;2.50;0.090
3860;17.0;24.0;2.50;0.100
3861;19.0;24.0;2.50;0.010
3862;19.0;24.0;2.50;0.020
3863;19.0;24.0;2.50;0.030
3864;19.0;24.0;2.50;0.040
3865;19.0;24.0;2.50;0.050
3866;19.0;24.0;2.50;0.060
3867;19.0;24.0;2.50;0.070
3868;19.0;24.0;2.50;0.080
3869;19.0;24.0;2.50;0.090
3870;19.0;24.0;2.50;0.100
3871;21.0;24.0;2.50;0.010
3872;21.0;24.0;2.50;0.020
3873;21.0;24.0;2.50;0.030
3874;21.0;24.0;2.50;0.040
3875;21.0;24.0;2.50;0.050
3876;21.0;24.0;2.50;0.060
3877;21.0;24.0;2.50;0.070
3878;21.0;24.0;2.50;0.080
3879;21.0;24.0;2.50;0.090
3880;21.0;24.0;2.50;0.100
3881;23.0;24.0;2.50;0.010
3882;23.0;24.0;2.50;0.020
3883;23.0;24.0;2.50;0.030
3884;23.0;24.0;2.50;0.040
3885;23.0;24.0;2.50;0.050
3886;23.0;24.0;2.50;0.060
3887;23.0;24.0;2.50;0.070
3888;23.0;24.0;2.50;0.080
3889;23.0;24.0;2.50;0.090
3890;23.0;24.0;2.50;0.100
3891;25.0;24.0;2.50;0.010
3892;25.0;24.0;2.50;0.020
3893;25.0;24.0;2.50;0.030
3894;25.0;24.0;2.50;0.040
3895;25.0;24.0;2.50;0.050
3896;25.0;24.0;2.50;0.060
3897;25.0;24.0;2.50;0.070
3898;25.0;24.0;2.50;0.080
3899;25.0;24.0;2.50;0.090
3900;25.0;24.0;2.50;0.100
3901;1.0;26.0;2.50;0.010
3902;1.0;26.0;2.50;0.020
3903;1.0;26.0;2.50;0.030
3904;1.0;26.0;2.50;0.040
3905;1.0;26.0;2.50;0.050
3906;1.0;26.0;2.50;0.060
3907;1.0;26.0;2.50;0.070
3908;1.0;26.0;2.50;0.080
3909;1.0;26.0;2.50;0.090
3910;1.0;26.0;2.50;0.100
3911;3.0;26.0;2.50;0.010
3912;3.0;26.0;2.50;0.020
3913;3.0;26.0;2.50;0.030
3914;3.0;26.0;2.50;0.040
3915;3.0;26.0;2.50;0.050
3916;3.0;26.0;2.50;0.060
3917;3.0;26.0;2.50;0.070
3918;3.0;26.0;2.50;0.080
3919;3.0;26.0;2.50;0.090
3920;3.0;26.0;2.50;0.100
3921;5.0;26.0;2.50;0.010
3922;5.0;26.0;2.50;0.020
3923;5.0;26.0;2.50;0.030
3924;5.0;26.0;2.50;0.040
3925;5.0;26.0;2.50;0.050
3926;5.0;26.0;2.50;0.060
3927;5.0;26.0;2.50;0.070
3928;5.0;26.0;2.50;0.080
3929;5.0;26.0;2.50;0.090
3930;5.0;26.0;2.50;0.100
3931;7.0;26.0;2.50;0.010
3932;7.0;26.0;2.50;0.020
3933;7.0;26.0;2.50;0.030
3934;7.0;26.0;2.50;0.040
3935;7.0;26.0;2.50;0.050
3936;7.0;26.0;2.50;0.060
3937;7.0;26.0;2.50;0.070
3938;7.0;26.0;2.50;0.080
3939;7.0;26.0;2.50;0.090
3940;7.0;26.0;2.50;0.100
3941;9.0;26.0;2.50;0.010
3942;9.0;26.0;2.50;0.020
3943;9.0;26.0;2.50;0.030
3944;9.0;26.0;2.50;0.040
3945;9.0;26.0;2.50;0.050
3946;9.0;26.0;2.50;0.060
3947;9.0;26.0;2.50;0.070
3948;9.0;26.0;2.50;0.080
3949;9.0;26.0;2.50;0.090
3950;9.0;26.0;2.50;0.100
3951;11.0;26.0;2.50;0.010
3952;11.0;26.0;2.50;0.020
3953;11.0;26.0;2.50;0.030
3954;11.0;26.0;2.50;0.040
3955;11.0;26.0;2.50;0.050
3956;11.0;26.0;2.50;0.060
3957;11.0;26.0;2.50;0.070
3958;11.0;26.0;2.50;0.080
3959;11.0;26.0;2.50;0.090
3960;11.0;26.0;2.50;0.100
3961;13.0;26.0;2.50;0.010
3962;13.0;26.0;2.50;0.020
3963;13.0;26.0;2.50;0.030
3964;13.0;26.0;2.50;0.040
3965;13.0;26.0;2.50;0.050
3966;13.0;26.0;2.50;0.060
3967;13.0;26.0;2.50;0.070
3968;13.0;26.0;2.50;0.080
3969;13.0;26.0;2.50;0.090
3970;13.0;26.0;2.50;0.100
3971;15.0;26.0;2.50;0.010
3972;15.0;26.0;2.50;0.020
3973;15.0;26.0;2.50;0.030
3974;15.0;26.0;2.50;0.040
3975;15.0;26.0;2.50;0.050
3976;15.0;26.0;2.50;0.060
3977;15.0;26.0;2.50;0.070
3978;15.0;26.0;2.50;0.080
3979;15.0;26.0;2.50;0.090
3980;15.0;26.0;2.50;0.100
3981;17.0;26.0;2.50;0.010
3982;17.0;26.0;2.50;0.020
3983;17.0;26.0;2.50;0.030
3984;17.0;26.0;2.50;0.040
3985;17.0;26.0;2.50;0.050
3986;17.0;26.0;2.50;0.060
3987;17.0;26.0;2.50;0.070
3988;17.0;26.0;2.50;0.080
3989;17.0;26.0;2.50;0.090
3990;17.0;26.0;2.50;0.100
3991;19.0;26.0;2.50;0.010
3992;19.0;26.0;2.50;0.020
3993;19.0;26.0;2.50;0.030
3994;19.0;26.0;2.50;0.040
3995;19.0;26.0;2.50;0.050
3996;19.0;26.0;2.50;0.060
3997;19.0;26.0;2.50;0.070
3998;19.0;26.0;2.50;0.080
3999;19.0;26.0;2.50;0.090
4000;19.0;26.0;2.50;0.100
4001;21.0;26.0;2.50;0.010
4002;21.0;26.0;2.50;0.020
4003;21.0;26.0;2.50;0.030
4004;21.0;26.0;2.50;0.040
4005;21.0;26.0;2.50;0.050
4006;21.0;26.0;2.50;0.060
4007;21.0;26.0;2.50;0.070
4008;21.0;26.0;2.50;0.080
4009;21.0;26.0;2.50;0.090
4010;21.0;26.0;2.50;0.100
4011;23.0;26.0;2.50;0.010
4012;23.0;26.0;2.50;0.020
4013;23.0;26.0;2.50;0.030
4014;23.0;26.0;2.50;0.040
4015;23.0;26.0;2.50;0.050
4016;23.0;26.0;2.50;0.060
4017;23.0;26.0;2.50;0.070
4018;23.0;26.0;2.50;0.080
4019;23.0;26.0;2.50;0.090
4020;23.0;26.0;2.50;0.100
4021;25.0;26.0;2.50;0.010
4022;25.0;26.0;2.50;0.020
4023;25.0;26.0;2.50;0.030
4024;25.0;26.0;2.50;0.040
4025;25.0;26.0;2.50;0.050
4026;25.0;26.0;2.50;0.060
4027;25.0;26.0;2.50;0.070
4028;25.0;26.0;2.50;0.080
4029;25.0;26.0;2.50;0.090
4030;25.0;26.0;2.50;0.100
4031;1.0;28.0;2.50;0.010
4032;1.0;28.0;2.50;0.020
4033;1.0;28.0;2.50;0.030
4034;1.0;28.0;2.50;0.040
4035;1.0;28.0;2.50;0.050
4036;1.0;28.0;2.50;0.060
4037;1.0;28.0;2.50;0.070
4038;1.0;28.0;2.50;0.080
4039;1.0;28.0;2.50;0.090
4040;1.0;28.0;2.50;0.100
4041;3.0;28.0;2.50;0.010
4042;3.0;28.0;2.50;0.020
4043;3.0;28.0;2.50;0.030
4044;3.0;28.0;2.50;0.040
4045;3.0;28.0;2.50;0.050
4046;3.0;28.0;2.50;0.060
4047;3.0;28.0;2.50;0.070
4048;3.0;28.0;2.50;0.080
4049;3.0;28.0;2.50;0.090
4050;3.0;28.0;2.50;0.100
4051;5.0;28.0;2.50;0.010
4052;5.0;28.0;2.50;0.020
4053;5.0;28.0;2.50;0.030
4054;5.0;28.0;2.50;0.040
4055;5.0;28.0;2.50;0.050
4056;5.0;28.0;2.50;0.060
4057;5.0;28.0;2.50;0.070
4058;5.0;28.0;2.50;0.080
4059;5.0;28.0;2.50;0.090
4060;5.0;28.0;2.50;0.100
4061;7.0;28.0;2.50;0.010
4062;7.0;28.0;2.50;0.020
4063;7.0;28.0;2.50;0.030
4064;7.0;28.0;2.50;0.040
4065;7.0;28.0;2.50;0.050
4066;7.0;28.0;2.50;0.060
4067;7.0;28.0;2.50;0.070
4068;7.0;28.0;2.50;0.080
4069;7.0;28.0;2.50;0.090
4070;7.0;28.0;2.50;0.100
4071;9.0;28.0;2.50;0.010
4072;9.0;28.0;2.50;0.020
4073;9.0;28.0;2.50;0.030
4074;9.0;28.0;2.50;0.040
4075;9.0;28.0;2.50;0.050
4076;9.0;28.0;2.50;0.060
4077;9.0;28.0;2.50;0.070
4078;9.0;28.0;2.50;0.080
4079;9.0;28.0;2.50;0.090
4080;9.0;28.0;2.50;0.100
4081;11.0;28.0;2.50;0.010
4082;11.0;28.0;2.50;0.020
4083;11.0;28.0;2.50;0.030
4084;11.0;28.0;2.50;0.040
4085;11.0;28.0;2.50;0.050
4086;11.0;28.0;2.50;0.060
4087;11.0;28.0;2.50;0.070
4088;11.0;28.0;2.50;0.080
4089;11.0;28.0;2.50;0.090
4090;11.0;28.0;2.50;0.100
4091;13.0;28.0;2.50;0.010
4092;13.0;28.0;2.50;0.020
4093;13.0;28.0;2.50;0.030
4094;13.0;28.0;2.50;0.040
4095;13.0;28.0;2.50;0.050
4096;13.0;28.0;2.50;0.060
4097;13.0;28.0;2.50;0.070
4098;13.0;28.0;2.50;0.080
4099;13.0;28.0;2.50;0.090
4100;13.0;28.0;2.50;0.100
4101;15.0;28.0;2.50;0.010
4102;15.0;28.0;2.50;0.020
4103;15.0;28.0;2.50;0.030
4104;15.0;28.0;2.50;0.040
4105;15.0;28.0;2.50;0.050
4106;15.0;28.0;2.50;0.060
4107;15.0;28.0;2.50;0.070
4108;15.0;28.0;2.50;0.080
4109;15.0;28.0;2.50;0.090
4110;15.0;28.0;2.50;0.100
4111;17.0;28.0;2.50;0.010
4112;17.0;28.0;2.50;0.020
4113;17.0;28.0;2.50;0.030
4114;17.0;28.0;2.50;0.040
4115;17.0;28.0;2.50;0.050
4116;17.0;28.0;2.50;0.060
4117;17.0;28.0;2.50;0.070
4118;17.0;28.0;2.50;0.080
4119;17.0;28.0;2.50;0.090
4120;17.0;28.0;2.50;0.100
4121;19.0;28.0;2.50;0.010
4122;19.0;28.0;2.50;0.020
4123;19.0;28.0;2.50;0.030
4124;19.0;28.0;2.50;0.040
4125;19.0;28.0;2.50;0.050
4126;19.0;28.0;2.50;0.060
4127;19.0;28.0;2.50;0.070
4128;19.0;28.0;2.50;0.080
4129;19.0;28.0;2.50;0.090
4130;19.0;28.0;2.50;0.100
4131;21.0;28.0;2.50;0.010
4132;21.0;28.0;2.50;0.020
4133;21.0;28.0;2.50;0.030
4134;21.0;28.0;2.50;0.040
4135;21.0;28.0;2.50;0.050
4136;21.0;28.0;2.50;0.060
4137;21.0;28.0;2.50;0.070
4138;21.0;28.0;2.50;0.080
4139;21.0;28.0;2.50;0.090
4140;21.0;28.0;2.50;0.100
4141;23.0;28.0;2.50;0.010
4142;23.0;28.0;2.50;0.020
4143;23.0;28.0;2.50;0.030
4144;23.0;28.0;2.50;0.040
4145;23.0;28.0;2.50;0.050
4146;23.0;28.0;2.50;0.060
4147;23.0;28.0;2.50;0.070
4148;23.0;28.0;2.50;0.080
4149;23.0;28.0;2.50;0.090
4150;23.0;28.0;2.50;0.100
4151;25.0;28.0;2.50;0.010
4152;25.0;28.0;2.50;0.020
4153;25.0;28.0;2.50;0.030
4154;25.0;28.0;2.50;0.040
4155;25.0;28.0;2.50;0.050
4156;25.0;28.0;2.50;0.060
4157;25.0;28.0;2.50;0.070
4158;25.0;28.0;2.50;0.080
4159;25.0;28.0;2.50;0.090
4160;25.0;28.0;2.50;0.100
4161;1.0;30.0;2.50;0.010
4162;1.0;30.0;2.50;0.020
4163;1.0;30.0;2.50;0.030
4164;1.0;30.0;2.50;0.040
4165;1.0;30.0;2.50;0.050
4166;1.0;30.0;2.50;0.060
4167;1.0;30.0;2.50;0.070
4168;1.0;30.0;2.50;0.080
4169;1.0;30.0;2.50;0.090
4170;1.0;30.0;2.50;0.100
4171;3.0;30.0;2.50;0.010
4172;3.0;30.0;2.50;0.020
4173;3.0;30.0;2.50;0.030
4174;3.0;30.0;2.50;0.040
4175;3.0;30.0;2.50;0.050
4176;3.0;30.0;2.50;0.060
4177;3.0;30.0;2.50;0.070
4178;3.0;30.0;2.50;0.080
4179;3.0;30.0;2.50;0.090
4180;3.0;30.0;2.50;0.100
4181;5.0;30.0;2.50;0.010
4182;5.0;30.0;2.50;0.020
4183;5.0;30.0;2.50;0.030
4184;5.0;30.0;2.50;0.040
4185;5.0;30.0;2.50;0.050
4186;5.0;30.0;2.50;0.060
4187;5.0;30.0;2.50;0.070
4188;5.0;30.0;2.50;0.080
4189;5.0;30.0;2.50;0.090
4190;5.0;30.0;2.50;0.100
4191;7.0;30.0;2.50;0.010
4192;7.0;30.0;2.50;0.020
4193;7.0;30.0;2.50;0.030
4194;7.0;30.0;2.50;0.040
4195;7.0;30.0;2.50;0.050
4196;7.0;30.0;2.50;0.060
4197;7.0;30.0;2.50;0.070
4198;7.0;30.0;2.50;0.080
4199;7.0;30.0;2.50;0.090
4200;7.0;30.0;2.50;0.100
4201;9.0;30.0;2.50;0.010
4202;9.0;30.0;2.50;0.020
4203;9.0;30.0;2.50;0.030
4204;9.0;30.0;2.50;0.040
4205;9.0;30.0;2.50;0.050
4206;9.0;30.0;2.50;0.060
4207;9.0;30.0;2.50;0.070
4208;9.0;30.0;2.50;0.080
4209;9.0;30.0;2.50;0.090
4210;9.0;30.0;2.50;0.100
4211;11.0;30.0;2.50;0.010
4212;11.0;30.0;2.50;0.020
4213;11.0;30.0;2.50;0.030
4214;11.0;30.0;2.50;0.040
4215;11.0;30.0;2.50;0.050
4216;11.0;30.0;2.50;0.060
4217;11.0;30.0;2.50;0.070
4218;11.0;30.0;2.50;0.080
4219;11.0;30.0;2.50;0.090
4220;11.0;30.0;2.50;0.100
4221;13.0;30.0;2.50;0.010
4222;13.0;30.0;2.50;0.020
4223;13.0;30.0;2.50;0.030
4224;13.0;30.0;2.50;0.040
4225;13.0;30.0;2.50;0.050
4226;13.0;30.0;2.50;0.060
4227;13.0;30.0;2.50;0.070
4228;13.0;30.0;2.50;0.080
4229;13.0;30.0;2.50;0.090
4230;13.0;30.0;2.50;0.100
4231;15.0;30.0;2.50;0.010
4232;15.0;30.0;2.50;0.020
4233;15.0;30.0;2.50;0.030
4234;15.0;30.0;2.50;0.040
4235;15.0;30.0;2.50;0.050
4236;15.0;30.0;2.50;0.060
4237;15.0;30.0;2.50;0.070
4238;15.0;30.0;2.50;0.080
4239;15.0;30.0;2.50;0.090
4240;15.0;30.0;2.50;0.100
4241;17.0;30.0;2.50;0.010
4242;17.0;30.0;2.50;0.020
4243;17.0;30.0;2.50;0.030
4244;17.0;30.0;2.50;0.040
4245;17.0;30.0;2.50;0.050
4246;17.0;30.0;2.50;0.060
4247;17.0;30.0;2.50;0.070
4248;17.0;30.0;2.50;0.080
4249;17.0;30.0;2.50;0.090
4250;17.0;30.0;2.50;0.100
4251;19.0;30.0;2.50;0.010
4252;19.0;30.0;2.50;0.020
4253;19.0;30.0;2.50;0.030
4254;19.0;30.0;2.50;0.040
4255;19.0;30.0;2.50;0.050
4256;19.0;30.0;2.50;0.060
4257;19.0;30.0;2.50;0.070
4258;19.0;30.0;2.50;0.080
4259;19.0;30.0;2.50;0.090
4260;19.0;30.0;2.50;0.100
4261;21.0;30.0;2.50;0.010
4262;21.0;30.0;2.50;0.020
4263;21.0;30.0;2.50;0.030
4264;21.0;30.0;2.50;0.040
4265;21.0;30.0;2.50;0.050
4266;21.0;30.0;2.50;0.060
4267;21.0;30.0;2.50;0.070
4268;21.0;30.0;2.50;0.080
4269;21.0;30.0;2.50;0.090
4270;21.0;30.0;2.50;0.100
4271;23.0;30.0;2.50;0.010
4272;23.0;30.0;2.50;0.020
4273;23.0;30.0;2.50;0.030
4274;23.0;30.0;2.50;0.040
4275;23.0;30.0;2.50;0.050
4276;23.0;30.0;2.50;0.060
4277;23.0;30.0;2.50;0.070
4278;23.0;30.0;2.50;0.080
4279;23.0;30.0;2.50;0.090
4280;23.0;30.0;2.50;0.100
4281;25.0;30.0;2.50;0.010
4282;25.0;30.0;2.50;0.020
4283;25.0;30.0;2.50;0.030
4284;25.0;30.0;2.50;0.040
4285;25.0;30.0;2.50;0.050
4286;25.0;30.0;2.50;0.060
4287;25.0;30.0;2.50;0.070
4288;25.0;30.0;2.50;0.080
4289;25.0;30.0;2.50;0.090
4290;25.0;30.0;2.50;0.100
4291;1.0;10.0;3.50;0.010
4292;1.0;10.0;3.50;0.020
4293;1.0;10.0;3.50;0.030
4294;1.0;10.0;3.50;0.040
4295;1.0;10.0;3.50;0.050
4296;1.0;10.0;3.50;0.060
4297;1.0;10.0;3.50;0.070
4298;1.0;10.0;3.50;0.080
4299;1.0;10.0;3.50;0.090
4300;1.0;10.0;3.50;0.100
4301;3.0;10.0;3.50;0.010
4302;3.0;10.0;3.50;0.020
4303;3.0;10.0;3.50;0.030
4304;3.0;10.0;3.50;0.040
4305;3.0;10.0;3.50;0.050
4306;3.0;10.0;3.50;0.060
4307;3.0;10.0;3.50;0.070
4308;3.0;10.0;3.50;0.080
4309;3.0;10.0;3.50;0.090
4310;3.0;10.0;3.50;0.100
4311;5.0;10.0;3.50;0.010
4312;5.0;10.0;3.50;0.020
4313;5.0;10.0;3.50;0.030
4314;5.0;10.0;3.50;0.040
4315;5.0;10.0;3.50;0.050
4316;5.0;10.0;3.50;0.060
4317;5.0;10.0;3.50;0.070
4318;5.0;10.0;3.50;0.080
4319;5.0;10.0;3.50;0.090
4320;5.0;10.0;3.50;0.100
4321;7.0;10.0;3.50;0.010
4322;7.0;10.0;3.50;0.020
4323;7.0;10.0;3.50;0.030
4324;7.0;10.0;3.50;0.040
4325;7.0;10.0;3.50;0.050
4326;7.0;10.0;3.50;0.060
4327;7.0;10.0;3.50;0.070
4328;7.0;10.0;3.50;0.080
4329;7.0;10.0;3.50;0.090
4330;7.0;10.0;3.50;0.100
4331;9.0;10.0;3.50;0.010
4332;9.0;10.0;3.50;0.020
4333;9.0;10.0;3.50;0.030
4334;9.0;10.0;3.50;0.040
4335;9.0;10.0;3.50;0.050
4336;9.0;10.0;3.50;0.060
